,Titles,Content,Original Summary,Link,Section
0,UK orders Chinese firm to sell Welsh tech plant,"The takeover of Britain's largest microchip plant by a Chinese-owned company must be reversed, the UK government has said.Newport Wafer Fab was acquired by Dutch-based technology company Nexperia, a subsidiary of Shanghai listed Wingtech, in July 2021.However, Nexperia must now sell 86% of its stake ""to mitigate the risk national security"" following a review.The firm said it was ""shocked"" and would appeal against the decision.The semiconductors, or chips, made there are used in modern electronics ranging from smartphones to household equipment and cars.The deal came under scrutiny amid an ongoing global shortage of computer chips which has been exacerbated by the pandemic.Concerns were raised that the home-grown technology, considered to be of strategic importance, would become more accessible to China under Nexperia.In its decision, the UK government said the takeover of Newport Wafer Fab created two risks to national security.The first related to Nexperia's development of the Newport site, which the government said could ""undermine UK capabilities"" in producing compound semiconductors.The second, the plant's location as part of a semiconductor cluster on the Duffryn industrial estate, could ""facilitate access to technological expertise and know-how"". It said the close links that existed in Newport ""may prevent the cluster being engaged in future projects relevant to national security"". The Newport plant employs more than 500 people and, at the time of the takeover, was producing about 35,000 wafers a year.The UK government had faced pressure to intervene, not least from the Commons Foreign Affairs Committee which said that Nexperia's takeover represents the sale of ""one of the UK's prized assets"" to a strategic competitor and potentially compromised national security. A report in April said an investigation pledged by then-Prime Minister Boris Johnson by the National Security Advisor had not happened.However, the decision was called in by the then-Business Secretary Kwasi Kwarteng in May on national security grounds.It was left to his successor Grant Shapps to announce the decision following delays due to the changes in prime minister and the cabinet. Nexperia said it did not accept the national security concerns and criticised the UK government for not entering ""meaningful dialogue"". Toni Versluijs, head of its UK operations, said: ""We are genuinely shocked. The decision is wrong, and we will appeal to overturn this divestment order to protect the over 500 jobs at Newport. ""The decision is disproportionate given the remedies Nexperia has proposed. It is wrong for the employees, for the UK semiconductor industry, for the UK economy and for the UK taxpayer - who could now be faced with a bill of over Â£100m for the fallout from this decision.""We rescued an investment-starved company from collapse. We have repaid taxpayer loans, secured jobs, wages, bonuses and pensions and agreed to spend more than Â£80m on equipment upgrades. The deal was publicly welcomed by the Welsh government.""",The UK government says Nexperia's takeover of Newport Wafer Fab creates national security risks.,https://www.bbc.com/news/uk-wales-63656816,/news/business
1,"Work long hours or leave, Musk tells Twitter staff","Elon Musk has told Twitter staff that they must commit to working ""long hours at high intensity"" or else leave the company, according to reports.In an email to staff, the social media firm's new owner said workers should agree to the pledge if they wanted to stay, the Washington Post reported.Those who do not sign up by Thursday will be given three months' severance pay, Mr Musk said.The BBC has contacted Twitter for comment.In his email to staff, also seen by The Guardian, Mr Musk said that Twitter ""will need to be extremely hardcore"" in order to succeed.""This will mean working long hours at high intensity. Only exceptional performance will constitute a passing grade,"" he said.Workers were told that they needed to click on a link by 17:00 EST on Thursday, if they want to be ""part of the new Twitter"".He added: ""Whatever decision you make, thank you for your efforts to make Twitter successful.""The world's richest man has already announced half of Twitter's staff are being let go, after he bought the company in a $44bn (Â£38.7bn) deal.Mr Musk said he had ""no choice"" over the cuts as the company was losing $4m (Â£3.51m) a day. He has blamed ""activist groups pressuring advertisers"" for a ""massive drop in revenue"".A host of top Twitter executives have also stepped down following his purchase of the firm.Last week, the entrepreneur told Twitter staff that remote working would end and ""difficult times"" lay ahead, according to reports.In an email to staff, the owner of the social media firm said workers would be expected in the office for at least 40 hours a week, Bloomberg reported.Mr Musk added that there was ""no way to sugar coat the message"" that the slowing global economy was going to hit Twitter's advertising revenues.But tech investor Sarah Kunst said the real reason Twitter is facing difficulties is because Mr Musk's takeover has saddled the company with debt. His behaviour since the takeover has also led some advertisers to pause their spending, she said. ""He's now trying to inflict that pain and uncertainty on the employees,"" she said.She added that there was a question mark over how enforceable Mr Musk's email about hours to staff really was.""Can you just send an email to staff who already work for you, and just unilaterally change their working contract? That remains to be seen.""Mr Musk himself has been sleeping at Twitter in recent weeks, even while leading electric carmaker Tesla and rocket company SpaceX.He described his work habits in a US court on Wednesday, where he appeared to defend the eye-popping $56bn pay package he received from electric carmaker Tesla in 2018.""I pretty much work all the time, with rare exceptions."" he said. In response to questioning, he later added that the ""fundamental organisational restructuring"" at Twitter would be complete by the end of this week.Dan Ives, a senior equity analyst at Wedbush Securities, warned it was further evidence that Twitter's culture had ""dramatically changed"" with Mr Musk at the helm.""Elon Musk is not going to be doing candlelight dinners and playing ping pong in Twitter's cafeteria and this is a shock to the system,"" he said.""But he also needs to play nice in the sandbox because if key Twitter engineers and developers leave, this will be a major void in the Twitter ecosystem,"" he warned. ""There's a careful balance ahead for him, in this tightrope act.""Do you work long hours either willingly or because you feel you have no choice? Please share your story by emailing: haveyoursay@bbc.co.uk. Please include a contact number if you are willing to speak to a BBC journalist. You can also get in touch in the following ways:If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or comment or you can email us at HaveYourSay@bbc.co.uk. Please include your name, age and location with any submission. ","Elon Musk says workers at the social media firm must be ""hardcore"" if they want to stay, reports say.",https://www.bbc.com/news/business-63648505,/news/business
2,UK Chancellor to unveil spending cuts and tax rises,"Chancellor Jeremy Hunt will pledge to face into the economic ""storm"", as he is expected to confirm widespread spending cuts and tax rises.He will say ""difficult decisions"" are needed to tackle soaring prices and limit mortgage costs. But he faces a potential backlash from some Tory MPs who oppose big tax hikes. The BBC understands the state pension and benefits will rise with prices but energy support is expected to be scaled back from April. Labour said the country was ""being held back by 12 years of Tory economic failure and wasted opportunities"", with working people ""paying the price"".  The BBC has spoken to people in Whitehall and Parliament about what is likely to be in Mr Hunt's Autumn Statement, although some decisions could change at the last minute.The final figures will be published as the statement is delivered but it is expected that around 55% of the measures will be spending cuts and 45% will be tax rises. This is likely to equate to around Â£30bn in spending cuts and Â£24bn in tax rises. The chancellor is likely to argue that this is not a return to the 2010 Conservative-Liberal Democrat coalition government's policy of austerity, with the balance of spending cuts to tax rises 80% to 20% under then-Chancellor George Osborne. The government argues the measures are needed to fill a so-called fiscal black hole - the gap between what the government raises and spends.However, some have questioned how reliable the forecasts are and the political decisions ministers are making. The freezing of levels at which people pay various taxes will be a big theme of the statement. As a result of inflation and pay increases, people will end up paying more tax. The threshold when the highest earners start paying the top rate of tax will be lowered to Â£125,000 from Â£150,000. With inflation - the rate at which prices rise - now running at a 41-year high, many departments will see their budgets squeezed with below-inflation increases. But it is expected the health budget will be protected and increase in real terms - even when price rises are taken into account. The government will also save cash by scaling back support with energy bills. The Treasury is likely to say an Energy Price Guarantee will remain in place - but at a higher level. That means millions of households will see their bills go up by hundreds of pounds a year from April.Under the current scheme a household using a typical amount of gas and electricity is expected to pay Â£2,500 annually. This figure is likely to rise to just over Â£3,000 but without the intervention the typical household bill would have hit Â£4,000. Universal support payments will end but there will be targeted support for those on low incomes and pensioners, with the scaling back of the Energy Price Guarantee helping to fund targeted support for some eight million low-income households.The energy industry - including energy generators - will also be hit with a significantly expanded windfall tax to help pay for the support. The BBC understands the state pension and benefits will rise with inflation - although this has not been officially confirmed. An increased National Living Wage, from the current level of Â£9.50 an hour for over-23s, will also be confirmed. After unexpected announcements in Mr Hunt's predecessor Kwasi Kwarteng's ill-fated mini-budget, no big surprises are expected from the chancellor. Mr Hunt has already reversed almost all the tax rises announced in the mini-budget in a bid to stabilise financial markets. Unlike Mr Kwarteng, Mr Hunt will publish independent forecasts from the Office for Budget Responsibility (OBR) alongside his statement. The forecasts are expected to paint a grim picture, after the Bank of England warned the country is set for its longest recession since records began.In his Autumn Statement, Mr Hunt is expected to say: ""We are taking difficult decisions to deliver strong public finances and help keep mortgage rates low, but our plan also protects our long-term economic growth.""At the same time, we protect the vulnerable, because to be British is to be compassionate.""He is set to add that the UK was not ""immune"" to the global economic crisis ""but with this plan for stability, growth and public services - we will face into the storm"".However, some Tory MPs on the right of the party have already expressed concern about the prospect of tax rises. Former cabinet minister Esther McVey has said putting up taxes is the ""last thing"" a Conservative government should be doing. On Wednesday, she warned she would not support tax rises unless the ""unnecessary vanity project"" of HS2 was scrapped. Simon Clarke, who was in Ms Truss's cabinet, warned Mr Hunt not to ""throw the baby out with the bathwater and overcorrect"" by imposing too many tax hikes.""I hope they will strike a balance which leans much more to spending reductions than tax rises to balance the books,"" he told BBC Radio 4's PM programme. But former work and pensions secretary Stephen Crabb said he feared spending cuts could lead to ""real risks to the quality of public services"".He told the BBC the state pension and benefits ""absolutely"" need to rise with inflation and that the Energy Price Guarantee needed to be broader than just helping pensioners and people on benefits. He added that he was confident Mr Hunt would make ""the right decisions"". Labour's shadow chancellor Rachel Reeves said the UK needed ""fairer choices for working people and a proper plan for growth"". ""Britain has so much potential but we are falling behind on the global stage, while mortgages, food and energy costs all go up and up,"" she said. ","Pensions and benefits will rise with prices but energy support is expected to be scaled back, the BBC understands.",https://www.bbc.com/news/uk-politics-63656522,/news/business
3,What is behind the big tech companies' job cuts?,"The first sign of job cuts at Amazon came from LinkedIn posts from laid-off employees.Then, Amazon's devices boss, Dave Limp, announced: ""It pains me... We will lose talented Amazonians from the devices & services org"".Across the tech industry, at firms like Twitter, Meta, Coinbase and Snap, workers have announced they are ""seeking new opportunities"".Worldwide, more than 120,000 jobs have been lost, according to the Layoffs.fyi website, which tracks tech job cuts.Different firms cut employees for different reasons but there are common themes.As our lives moved online during the pandemic, the tech giants' businesses boomed, and executives believed the good times - for them - would continue to roll.Meta, for example, took on more than 15,000 people in the first nine months of this year.Now executives announcing cuts have said they miscalculated.""I made the decision to significantly increase our investments,"" chief executive Mark Zuckerberg told Meta employees, as he laid off 13% of them.""Unfortunately, this did not play out the way I expected.""Online adverts are the chief source of income for many tech firms, but for the advertising business, dark clouds have been gathering. Firms have faced growing opposition to intrusive advertising practices. For example, Apple made it harder to track people's online activity and sell that data to advertisers. And as the economy ran into trouble, many firms slashed their online advertising budgets.In the financial technology sector, rising interest rates have also hit companies.""It's been a really a disappointing quarter of earnings for many of the big tech companies,"" said technology analyst Paolo Pescatore of PP Foresight. ""No-one's immune.""Even Apple has signalled caution, with chief executive Tim Cook saying the firm was ""still hiring"", but only on a ""deliberate basis."" Amazon attributed its job cuts to an ""unusual and uncertain macroeconomic environment"" forcing it to prioritize on what mattered most to customers.""As part of our annual operating planning review process, we always look at each of our businesses and what we believe we should change,"" spokeswoman Kelly Nantel said. ""As we've gone through this, given the current macro-economic environment (as well as several years of rapid hiring), some teams are making adjustments, which in some cases means certain roles are no longer necessary. We don't take these decisions lightly, and we are working to support any employees who may be affected.""Investors have also piled on the pressure to cut costs, accusing firms of being bloated and slow to respond to signs of slowdown.In an open letter to Alphabet, parent company of Google and YouTube, activist investor Sir Christopher Hohn urged the firm to slash jobs and pay.Alphabet had to be more disciplined about costs, he wrote, and cut losses from projects like its self-driving car company, Waymo.Elon Musk is certainly of the view that there is room to cut costs at his latest investment, Twitter, which has struggled to either turn a profit or attract new users.Added to that, many commentators argue Mr Musk paid over the odds for the firm, and the pressure is on to make his investment worthwhile.He laid off half the firm's employees; and for those who remain an ""extreme"" work ethic is promised.According to US media reports on Tuesday, Mr Musk told staff they needed to commit to a ""hardcore"" culture of ""long hours at high intensity"" or leave. Industry watcher Scott Kessler also says there is less tolerance for big spending on high-tech gambles like virtual reality or driverless cars that may not pay off in the short term.Investors also see the high wages and cushy perks some enjoy in the industry as unsustainable.""Some companies have had to face harsh realities,"" he said.Mike Morini, from WorkForce Software, which provides digital management tools said it appeared to be a turning point.""The tech industry is exiting a period of growth at all costs,"" he said.But while the big tech firms may be buffeted by economic headwinds, they are not broken.Amazon's proposed 10,000 job cuts in corporate and technology roles - its biggest such reduction to date - represents only 3% of its office staff.And the lay-offs may also be the start of new businesses as talented staff, dumped by the big firms, join or create start-ups.As veteran Silicon Valley watcher Mike Malone recently told the BBC: ""I won't write the Valley off yet. I still have a lot of hope.""",Thousands of redundancies have been announced by some of the largest firms in the industry.,https://www.bbc.com/news/technology-63635821,/news/business
4,UK food delivery firm Deliveroo quits Australia,"UK-based food delivery app Deliveroo says it is quitting Australia, citing tough economic conditions.The company's Australian operation, which launched in 2015, is being placed into voluntary administration.Deliveroo has come under increasing pressure to treat its 15,000 riders as employees, with the country's new government pledging to improve gig workers' conditions. It has also faced competition from rivals such as Uber Eats and Menulog.Deliveroo said it had stopped accepting orders through its app, with customers receiving an error message if they tried to place an order.""This was a difficult decision and not one we have taken lightly. We want to thank all our employees, consumers, riders and restaurant and grocery partners who have been involved with the Australian operations over the past seven years,"" Deliveroo's chief operating officer Eric French said in a statement to investors.""Our focus is now on making sure our employees, riders and partners are supported throughout this process,"" he added.In the statement the company pledged ""guaranteed enhanced severance payments for employees as well as compensation for riders and for certain restaurant partners.""Food delivery apps saw demand surge during the pandemic but have since faced challenges including customers reining in their spending and the tightening of regulations in several countries.During Australia's election campaign this year Anthony Albanese, who is now the country's prime minister, said he would work to improve the rights of workers if his party came to power.Members of his government have called gig work a ""cancer"" on the economy with accusations that it drives down the wages of a million workers. Last month, Deliveroo also announced that it planned to quit the Netherlands market at the end of November.Deliveroo's London-listed shares have lost around half of their value since the start of this year.",The firm struggled to compete with rivals as well as facing pressure to improve workers' conditions.,https://www.bbc.com/news/business-63645765,/news/business
5,Energy bills push UK inflation to 41-year high,"Food prices are rising at their fastest rate for 45 years, with the cost of basics such as milk, cheese and eggs surging.Food price inflation hit 16.2% in the year to October, up from 14.5% in September, latest figures show.Energy and fuel costs also rose sharply, pushing the overall inflation rate to its highest level since 1981.The surging cost of living is squeezing household budgets, leaving many people facing hardship. The Office for National Statistics (ONS) said it was hitting poorer households hardest, as they spent around half of their income on food and energy, compared to about a third for those on middle incomes.October's overall inflation rate, of 11.1%, is the highest for 41 years and up from 10.1% in September.The latest figures come ahead of Thursday's Autumn Statement, in which Chancellor Jeremy Hunt is expected to announce billions of pounds worth of public spending cuts and tax rises.Mr Hunt said his plans would aim to bring spiralling price rises under control, adding that he would take ""tough but necessary decisions"" to get the economy back on track.But Labour's shadow chancellor Rachel Reeves said the surging inflation rate would ""strike more fear in the heart of families across Britain"" and blamed ""12 years of Tory economic failure"".Inflation is a measure of the cost of living and to calculate it, the Office for National Statistics (ONS) keeps track of the prices of hundreds of everyday items, known as a ""basket of goods"".The ONS said that food prices had risen sharply in October with milk, pasta, margarine, eggs and cereals all going up.I've been conducting a very unscientific experiment by buying the same 10 basic items in Aldi almost every month since May, and yesterday's bill was another increase.My shopping list of exactly the same bread, pizza, chips, loo roll, eggs, potatoes, sugar, oats, cornflakes, and nappies has gone up from Â£14.20 in May to Â£16.29 yesterday. That's a 14.7% rise in just six months.It gives a real sense of what we're all facing at the tills, wherever you shop, and also gives a little glimpse into what the November figures will show us when they are published next month. If anyone was hoping for a reduction in food inflation then it doesn't seem like it's happening just yet.However, gas and electricity prices were still the main drivers of inflation after bills climbed again last month.The government's Energy Price Guarantee scheme did mitigate those rises, limiting the average household bill to around Â£2,500 a year. But the ONS said gas and electricity prices were still up by nearly 130% and 66% respectively compared with a year ago.Without the government's support, however, it said overall inflation would have risen to as high as 13.8%. Greg Pilley is the founder of the Stroud Brewery & Taproom in Gloucestershire, which supplies beer to pubs and shops. He told the BBC his business has been hit by a 10% rise in costs. ""Electricity has doubled over the last year,"" he said. ""We're paying Â£70,000 a year compared to Â£30,000 in the previous year, but also raw materials are going up by between 10-15%.""He said he'd had to put his prices up, while he was also paying much more in wages.""The future is fairly unpredictable,"" Mr Pilley said. ""We've got to sell three times as much beer... just to stay in the same place."" Energy and food prices have been rising since last year because of the war in Ukraine and the impact of the Covid pandemic. Rising prices have led to workers across a number of sectors calling for pay increases in line with the higher cost of living, with some industries such as the railways, staging strikes.How are you being affected by the rising cost of living? Do you have any questions you'd like our experts to answer? Share your experiences by emailing haveyoursay@bbc.co.uk.However, some economists suggest October's 11.1% inflation rate could be the peak.Paul Dales, chief UK economist at Capital Economics, said prices could begin to slow down ""if the government continues to freeze [energy] prices in some way"".""There is growing evidence that the upward pressure on core inflation from global factors is now fading,"" he added.Dame Deanne Julius, former member of the Bank of England's Monetary Policy Committee which sets interest rates, also said some of the elements driving inflation - aside from energy bills and food prices - were stabilising.If inflation falls, it won't mean prices will come down, it means prices will rise at a slower rate.The Bank of England has put up interest rates to 3% in a bid to cool inflation. It hopes that by making borrowing money more expensive, people will spend less, demand will decrease and the pace of price rises will be curbed.But higher rates are driving up the cost of mortgages and other loans. The squeeze on spending is dragging on the UK economy which is likely to enter a recession at the end of the year.Latest figures showed the economy contracted by 0.2% between July and September and the Bank of England has warned the UK is facing a tough two-year downturn.A recession is defined as when an economy shrinks for two three-month periods in a row. It's a sign an economy is performing badly, with companies often making less money and unemployment rising. Countries around the world are experiencing higher inflation. The rate in Germany is higher than in the UK, at 11.6%, while prices rose by 7.7% in the year to October in the US.However, the UK is performing worse economically than other major nations, with its economy smaller than it was before the Covid pandemic.Additional reporting by Ramzan Karmali.","High prices are hitting poorer people hardest, as they spend more of their income on food and energy.",https://www.bbc.com/news/business-63641414,/news/business
6,UK orders Chinese firm to sell Welsh tech plant,"The takeover of Britain's largest microchip plant by a Chinese-owned company must be reversed, the UK government has said.Newport Wafer Fab was acquired by Dutch-based technology company Nexperia, a subsidiary of Shanghai listed Wingtech, in July 2021.However, Nexperia must now sell 86% of its stake ""to mitigate the risk national security"" following a review.The firm said it was ""shocked"" and would appeal against the decision.Semiconductors, also known as microchips or chips, allow electricity to flow through devices and are the fundamental components of everything from smart phones to the vast data centres powering the internet and are found in millions of products.The Wafer Fab deal came under scrutiny amid an ongoing global shortage of computer chips which has been exacerbated by the pandemic and severely hit a wide range of industries.Concerns were raised that the home-grown technology, considered to be of strategic importance, would become more accessible to China under Nexperia.In its decision, the UK government said the takeover of Newport Wafer Fab created two risks to national security.The first related to Nexperia's development of the Newport site, which the government said could ""undermine UK capabilities"" in producing compound semiconductors.The second, the plant's location as part of a semiconductor cluster on the Duffryn industrial estate, could ""facilitate access to technological expertise and know-how"". It said the close links that existed in Newport ""may prevent the cluster being engaged in future projects relevant to national security"". The Newport plant employs more than 500 people and, at the time of the takeover, was producing about 35,000 wafers a year.The UK government had faced pressure to intervene, not least from the Commons Foreign Affairs Committee which said that Nexperia's takeover represents the sale of ""one of the UK's prized assets"" to a strategic competitor and potentially compromised national security. A report in April said an investigation pledged by then-Prime Minister Boris Johnson by the National Security Advisor had not happened.However, the decision was called in by the then-Business Secretary Kwasi Kwarteng in May on national security grounds.It was left to his successor Grant Shapps to make the decision following delays due to the changes in prime minister and the cabinet. Nexperia said it did not accept the national security concerns and criticised the UK government for not entering ""meaningful dialogue"". Toni Versluijs, head of its UK operations, said: ""We are genuinely shocked. The decision is wrong, and we will appeal to overturn this divestment order to protect the over 500 jobs at Newport. ""The decision is disproportionate given the remedies Nexperia has proposed. It is wrong for the employees, for the UK semiconductor industry, for the UK economy and for the UK taxpayer - who could now be faced with a bill of over Â£100m for the fallout from this decision.""We rescued an investment-starved company from collapse. We have repaid taxpayer loans, secured jobs, wages, bonuses and pensions and agreed to spend more than Â£80m on equipment upgrades. The deal was publicly welcomed by the Welsh government.""A government spokesman said: ""The UK has a number of strengths within the semiconductor sector, including in south Wales, and through our forthcoming semiconductor strategy we will enable this technology to continue to support the UK and global economy.""",The UK government says Nexperia's takeover of Newport Wafer Fab creates national security risks.,https://www.bbc.com/news/uk-wales-63656816,/news/business
7,Faisal Islam: When will price rises start to slow down?,"Britain may well have seen the peak in the actual inflation number. We are nowhere near the peak of the impact on society and households.Even in the leafy Gloucestershire Cotswolds, where there always have been pockets of deprivation, I was repeatedly told that people were simply not putting their heating on, with impacts on their health.That might have been manageable up until now, thanks to the unusually mild winter, which has also helped calm the international market prices for gas and electricity. But there is much fear about what happens when winter hits in earnest.October was always going to be a very tough month for figures on the cost of living. Despite the Energy Price Guarantee, inflation at 11.1% is at a 41-year high. Without the guarantee, which limits the rise of typical bills to Â£2,500, it could have been more like 13%.But consumers don't need to be told how wide-ranging this is, with food price inflation up again to the highest rate in 45 years, driven by the cost of things like milk and cheese.In Gloucester Market, the packs of 12 Christmas cards that normally cost Â£1, which were recently pushed up to Â£1.50, are now selling at Â£1.99.And yet in global markets there are the smallest signs that the initial reasons behind the spike in inflation a year ago, post-pandemic supply chain problems, are starting to turn. It can be seen most clearly in the used car market, which was among the very first harbingers of the broken supply chain inflation spike, and is now leading the falls. The more relaxed approach to China's ""zero Covid"" lockdowns has also meant there is some light at the end of the tunnel about prices.Energy remains tough, but much will depend on tomorrow's announcements from the chancellor at his Autumn Statement. I expect that we will hear not just about a more targeted scheme of support, but also about the rollover of some of the welfare-related support schemes that were due to end in April under Liz Truss' plans.But undoubtedly some above-average households, that do not consider themselves to be ""rich"", will be facing less protection from the cold winds of the international energy markets and the war in Ukraine.So prices will stay very high for a few months at least, as it takes some time for these global factors to feed into everyday prices.",,https://www.bbc.com/news/business-63648502,/news/business
8,"Retailer Joules collapses risking 1,600 jobs","Clothing group Joules has collapsed into administration, putting 1,600 jobs at risk.The Leicestershire-based company, which has 132 shops, took the step after failing to secure emergency investment.The firm will be run as a going concern over Christmas while the administrators look for a buyer.Many retailers have been struggling as consumers cut spending amid rising prices. Inflation rose to 11.1% in October, latest figures show.Will Wright, one of the administrators from Interpath Advisory, said: ""Over the coming weeks, we will endeavour to continue to operate all stores as a going concern during this vitally important Christmas trading period while we assess options for the group, including a possible sale.""Mr Wright added that there had been ""an overwhelming amount of interest from interested parties"" in Joules.""At this stage we are optimistic that we will be able to secure a future for this great British brand,"" he said.Joules said last week that recent sales had been weaker than expected.It said this was largely due to ""the challenging UK economic environment which has negatively impacted consumer confidence and disposable income"".Last week, furniture retailer Made.com fell into administration, leading to hundreds of job losses, with High Street giant Next buying Made's brand name, website and intellectual property.Next had been in talks with Joules during the summer over taking a stake in the company, but these discussions ended in September. Joules was founded by Tom Joule, and started out selling clothes at country shows in 1989.Mr Joule said he had started the firm with ""one man, one tent and a lot of enthusiasm"", finding a niche in the market when he realised there was a demand for colourful clothing amid the standard tweeds worn to such events.On Monday, Mr Joule said the business ""has become too complex and our model today is not aligned to succeed in the current, tough trading environment"".As well as the Joules stores and online business, the Joules Group also runs the online-only Garden Trading Company.The squeeze on consumer spending, with households facing prices rising at the fastest pace for 40 years, has led to problems across the retail sector.Last week, Marks and Spencer warned of a ""gathering storm"" of higher costs for retailers and pressure on household budgets, adding that ""all parts"" of retail would be affected.",,https://www.bbc.com/news/business-63651838,/news/business
9,Amazon staff laid off as tech giants cut costs,"Technology giant Amazon has started laying off staff, according to LinkedIn posts by workers who say they have been impacted by job cuts.This week it was reported that the company is planning to cut 10,000 jobs, or around 3% of its office staff.Amazon did not immediately respond to a BBC request for comment.It comes as thousands of jobs are being shed across the technology industry as firms see sales slow amid growing concerns about an economic downturn.Posts seen by the BBC include those from employees in Amazon's Alexa virtual assistant business, Luna cloud gaming platform division and Lab126 - the operation behind the Kindle e-reader.One employee, who said that she worked as a software development engineer in the US, posted that she was looking for a new job: ""Due to the nature of my visa, I have a limited time to lookout for new work opportunities.""Another Amazon worker who said they had been impacted by the layoffs said: ""Of course I am saddened, yet optimistic about the future because I know this means good change for me and others on my team.""The company had already introduced a hiring freeze and halted some of its warehouse expansions, warning it had over-hired during the pandemic. It had also taken steps to shut some parts of its business, cancelling projects such as a personal delivery robot.Last month Amazon's founder and chairman Jeff Bezos warned that the US economy was sending a signal to ""batten down the hatches"".Amazon's share price has fallen by more than 40% this year as it grapples with a slowdown in online sales. Other major technology companies have already announced major layoffs as they cut costs.Last week Meta - which owns Facebook, Instagram and WhatsApp - announced that it would cut 13% of its workforce.The first mass lay-offs in the firm's history will result in 11,000 employees losing their jobs.Shortly after Elon Musk took over Twitter it was confirmed that he would cut the social media platform's headcount by around 50%.In recent weeks technology giant Microsoft, payment processing platform Stripe and cloud-based business software firm Salesforce have also announced layoffs.One Seattle-based technology industry insider, who wished to remain anonymous, told the BBC that the job market had changed significantly in recent weeks.""The last two years has been great for job opportunities because of remote work meaning you don't have to isolate a job search to your local area. So that's seen the scramble for talent be very competitive and wages have gone up really high.""""What we're seeing now is a contraction in budgets and staffing.""He said some technology firms companies, including Amazon, are likely to be hit particularly hard.""Amazon is very, very bloated. So there's lots of people there but they're not providing a lot of value so they're first on the chopping block.""",,https://www.bbc.com/news/business-63631877,/news/business
